model,dashboard,candidate_project,status,s_data,s_int,data_file_match,compiled_episode_count,error
claude,tableau_dashboard_10115,/root/autodl-tmp/chi26-image2code/samples/claude/tableau_dashboard_10115,error,,,,,"reference episode compilation failed: Build failed for /root/autodl-tmp/chi26-image2code/samples/ours/tableau_dashboard_10115:

> vite_template_tmp@0.0.0 build
> tsc -b && vite build

src/components/Dashboard.tsx(28,25): error TS2339: Property 'env' does not exist on type 'ImportMeta'.
"
claude,tableau_dashboard_10845,/root/autodl-tmp/chi26-image2code/samples/claude/tableau_dashboard_10845,ok,0.17041666666666666,0.140625,True,4,
claude,tableau_dashboard_1107_1,/root/autodl-tmp/chi26-image2code/samples/claude/tableau_dashboard_1107_1,ok,0.5907142857142857,0.0,True,1,
claude,tableau_dashboard_1107_3,/root/autodl-tmp/chi26-image2code/samples/claude/tableau_dashboard_1107_3,error,,,,,"reference episode compilation failed: Build failed for /root/autodl-tmp/chi26-image2code/samples/ours/tableau_dashboard_1107_3:

> vite_template_tmp@0.0.0 build
> tsc -b && vite build

src/services/dataService.ts(67,21): error TS2339: Property 'env' does not exist on type 'ImportMeta'.
src/services/dataService.ts(244,21): error TS2339: Property 'env' does not exist on type 'ImportMeta'.
"
claude,tableau_dashboard_121,/root/autodl-tmp/chi26-image2code/samples/claude/tableau_dashboard_121,ok,0.22347812103810874,0.0,True,0,
claude,tableau_dashboard_1223_2,/root/autodl-tmp/chi26-image2code/samples/claude/tableau_dashboard_1223_2,ok,0.0,0.0,False,0,
claude,tableau_dashboard_1225,/root/autodl-tmp/chi26-image2code/samples/claude/tableau_dashboard_1225,error,,,,,"Page.wait_for_selector: Timeout 15000ms exceeded.
Call log:
  - waiting for locator(""svg, canvas"") to be visible
"
claude,tableau_dashboard_1229,/root/autodl-tmp/chi26-image2code/samples/claude/tableau_dashboard_1229,ok,5.208333333333334e-05,0.0,True,0,
claude,tableau_dashboard_1230,/root/autodl-tmp/chi26-image2code/samples/claude/tableau_dashboard_1230,ok,0.5396132154882155,0.0,True,0,
claude,tableau_dashboard_1378_1,/root/autodl-tmp/chi26-image2code/samples/claude/tableau_dashboard_1378_1,error,,,,,"Page.wait_for_selector: Timeout 15000ms exceeded.
Call log:
  - waiting for locator(""svg, canvas"") to be visible
"
claude,tableau_dashboard_1378_2,/root/autodl-tmp/chi26-image2code/samples/claude/tableau_dashboard_1378_2,ok,0.0,0.0,True,1,
claude,tableau_dashboard_1473_2,/root/autodl-tmp/chi26-image2code/samples/claude/tableau_dashboard_1473_2,ok,0.00972222222222222,0.0,True,0,
claude,tableau_dashboard_147_1,/root/autodl-tmp/chi26-image2code/samples/claude/tableau_dashboard_147_1,ok,0.7081239250085999,0.392,True,1,
claude,tableau_dashboard_1497,/root/autodl-tmp/chi26-image2code/samples/claude/tableau_dashboard_1497,ok,0.06454877910760262,0.0,True,3,
claude,tableau_dashboard_160,/root/autodl-tmp/chi26-image2code/samples/claude/tableau_dashboard_160,error,,,,,"reference episode compilation failed: Page.wait_for_selector: Timeout 15000ms exceeded.
Call log:
  - waiting for locator(""svg, canvas"") to be visible
"
claude,tableau_dashboard_1664,/root/autodl-tmp/chi26-image2code/samples/claude/tableau_dashboard_1664,ok,0.13925083612040132,0.0,True,1,
claude,tableau_dashboard_1665,/root/autodl-tmp/chi26-image2code/samples/claude/tableau_dashboard_1665,ok,0.4086495726495726,0.0,True,1,
claude,tableau_dashboard_1968,/root/autodl-tmp/chi26-image2code/samples/claude/tableau_dashboard_1968,error,,,,,"Page.wait_for_selector: Timeout 15000ms exceeded.
Call log:
  - waiting for locator(""svg, canvas"") to be visible
"
