model,dashboard,candidate_project,status,s_data,s_int,data_file_match,compiled_episode_count,error
gemini-3.1-pro,tableau_dashboard_1107_3,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_1107_3,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_646,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_646,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_refine2_3947,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_refine2_3947,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_refine5_586,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_refine5_586,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_1979,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_1979,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_refine5_186,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_refine5_186,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_refine5_520,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_refine5_520,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_refine_9517,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_refine_9517,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_2936_3,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_2936_3,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_8239,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_8239,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_2685,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_2685,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_1378_2,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_1378_2,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_1497,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_1497,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_902,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_902,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_refine5_455,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_refine5_455,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_refine5_204,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_refine5_204,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_303_1,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_303_1,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_5251,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_5251,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_2010,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_2010,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_refine4_3352,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_refine4_3352,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_refine5_603,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_refine5_603,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_357,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_357,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_3480_3,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_3480_3,error,,,,,generation failed
gemini-3.1-pro,tableau_dashboard_147_1,/Users/liuhongxu/Documents/vabench/generated-react-app-v2-gemini-3.1-pro/tableau_dashboard_147_1,error,,,,,generation failed
