model,dashboard,candidate_project,status,s_data,s_int,data_file_match,compiled_episode_count,error
gpt-5.4,tableau_dashboard_10115,/Users/liuhongxu/Documents/vabench/gpt-5.4/tableau_dashboard_10115,ok,0.06716826923076924,0.31466944406759223,True,3,
gpt-5.4,tableau_dashboard_10845,/Users/liuhongxu/Documents/vabench/gpt-5.4/tableau_dashboard_10845,ok,0.08,0.4786458333333333,True,4,
gpt-5.4,tableau_dashboard_1107_1,/Users/liuhongxu/Documents/vabench/gpt-5.4/tableau_dashboard_1107_1,ok,0.0,0.33888888888888896,False,1,
gpt-5.4,tableau_dashboard_1107_3,/Users/liuhongxu/Documents/vabench/gpt-5.4/tableau_dashboard_1107_3,ok,0.0,0.6976547842401501,False,1,
gpt-5.4,tableau_dashboard_121,/Users/liuhongxu/Documents/vabench/gpt-5.4/tableau_dashboard_121,ok,0.0,0.0,False,0,
gpt-5.4,tableau_dashboard_1223_2,/Users/liuhongxu/Documents/vabench/gpt-5.4/tableau_dashboard_1223_2,ok,0.0,0.0,False,0,
gpt-5.4,tableau_dashboard_1225,/Users/liuhongxu/Documents/vabench/gpt-5.4/tableau_dashboard_1225,ok,0.03141447368421053,0.0,True,0,
gpt-5.4,tableau_dashboard_1229,/Users/liuhongxu/Documents/vabench/gpt-5.4/tableau_dashboard_1229,ok,0.006854166666666666,0.0,True,0,
gpt-5.4,tableau_dashboard_1230,/Users/liuhongxu/Documents/vabench/gpt-5.4/tableau_dashboard_1230,ok,0.14026273148148147,0.0,True,0,
gpt-5.4,tableau_dashboard_1378_1,/Users/liuhongxu/Documents/vabench/gpt-5.4/tableau_dashboard_1378_1,ok,0.019166666666666665,0.0,True,0,
gpt-5.4,tableau_dashboard_1378_2,/Users/liuhongxu/Documents/vabench/gpt-5.4/tableau_dashboard_1378_2,error,,,,,"Page.wait_for_selector: Timeout 15000ms exceeded.
Call log:
  - waiting for locator(""svg, canvas"") to be visible
"
gpt-5.4,tableau_dashboard_1473_2,/Users/liuhongxu/Documents/vabench/gpt-5.4/tableau_dashboard_1473_2,ok,0.26358984582668793,0.0,True,0,
gpt-5.4,tableau_dashboard_147_1,/Users/liuhongxu/Documents/vabench/gpt-5.4/tableau_dashboard_147_1,ok,0.06759502923976608,0.484375,True,1,
gpt-5.4,tableau_dashboard_1497,/Users/liuhongxu/Documents/vabench/gpt-5.4/tableau_dashboard_1497,ok,0.06424190141581446,0.26435185185185184,True,3,
