model,dashboard,candidate_project,status,s_data,s_int,data_file_match,compiled_episode_count,error
qwen,tableau_dashboard_10115,/root/autodl-tmp/chi26-image2code/samples/qwen/tableau_dashboard_10115,error,,,,,"reference episode compilation failed: Build failed for /root/autodl-tmp/chi26-image2code/samples/ours/tableau_dashboard_10115:

> vite_template_tmp@0.0.0 build
> tsc -b && vite build

src/components/Dashboard.tsx(28,25): error TS2339: Property 'env' does not exist on type 'ImportMeta'.
"
qwen,tableau_dashboard_10845,/root/autodl-tmp/chi26-image2code/samples/qwen/tableau_dashboard_10845,ok,0.055208333333333325,0.0,True,4,
qwen,tableau_dashboard_1107_1,/root/autodl-tmp/chi26-image2code/samples/qwen/tableau_dashboard_1107_1,ok,0.05833333333333333,0.0,True,1,
qwen,tableau_dashboard_1107_3,/root/autodl-tmp/chi26-image2code/samples/qwen/tableau_dashboard_1107_3,error,,,,,"reference episode compilation failed: Build failed for /root/autodl-tmp/chi26-image2code/samples/ours/tableau_dashboard_1107_3:

> vite_template_tmp@0.0.0 build
> tsc -b && vite build

src/services/dataService.ts(67,21): error TS2339: Property 'env' does not exist on type 'ImportMeta'.
src/services/dataService.ts(244,21): error TS2339: Property 'env' does not exist on type 'ImportMeta'.
"
qwen,tableau_dashboard_121,/root/autodl-tmp/chi26-image2code/samples/qwen/tableau_dashboard_121,ok,0.0,0.0,True,0,
qwen,tableau_dashboard_1223_2,/root/autodl-tmp/chi26-image2code/samples/qwen/tableau_dashboard_1223_2,ok,0.0,0.0,False,0,
qwen,tableau_dashboard_1225,/root/autodl-tmp/chi26-image2code/samples/qwen/tableau_dashboard_1225,ok,0.0,0.0,False,0,
qwen,tableau_dashboard_1229,/root/autodl-tmp/chi26-image2code/samples/qwen/tableau_dashboard_1229,ok,0.00043749999999999995,0.0,True,0,
qwen,tableau_dashboard_1230,/root/autodl-tmp/chi26-image2code/samples/qwen/tableau_dashboard_1230,ok,0.02395023148148148,0.0,True,0,
qwen,tableau_dashboard_1378_1,/root/autodl-tmp/chi26-image2code/samples/qwen/tableau_dashboard_1378_1,ok,0.024999999999999998,0.0,True,0,
qwen,tableau_dashboard_1378_2,/root/autodl-tmp/chi26-image2code/samples/qwen/tableau_dashboard_1378_2,error,,,,,"Page.wait_for_selector: Timeout 15000ms exceeded.
Call log:
  - waiting for locator(""svg, canvas"") to be visible
    - locator resolved to 3 elements. Proceeding with the first one: <svg width=""800"" height=""280"" class=""chart""></svg>
"
qwen,tableau_dashboard_1473_2,/root/autodl-tmp/chi26-image2code/samples/qwen/tableau_dashboard_1473_2,ok,0.0651448697501329,0.0,True,0,
qwen,tableau_dashboard_147_1,/root/autodl-tmp/chi26-image2code/samples/qwen/tableau_dashboard_147_1,ok,0.2969392844857241,0.494,True,1,
qwen,tableau_dashboard_1497,/root/autodl-tmp/chi26-image2code/samples/qwen/tableau_dashboard_1497,ok,0.0,0.0,False,3,
qwen,tableau_dashboard_160,/root/autodl-tmp/chi26-image2code/samples/qwen/tableau_dashboard_160,error,,,,,"reference episode compilation failed: Page.wait_for_selector: Timeout 15000ms exceeded.
Call log:
  - waiting for locator(""svg, canvas"") to be visible
"
qwen,tableau_dashboard_1664,/root/autodl-tmp/chi26-image2code/samples/qwen/tableau_dashboard_1664,ok,0.11282692307692307,0.0,True,1,
qwen,tableau_dashboard_1665,/root/autodl-tmp/chi26-image2code/samples/qwen/tableau_dashboard_1665,ok,0.3425252525252525,0.4089690170940171,True,1,
qwen,tableau_dashboard_1968,/root/autodl-tmp/chi26-image2code/samples/qwen/tableau_dashboard_1968,ok,0.14491026638989793,0.16121899696834616,True,2,
